,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,White,Black or African American,Asian,Hispanic or Latino (of any race)
QN57,28769,13020,15749,1377,1722,1415,1392,1392,3300,3646,3974,2227,1893,3215,2148,24781,935,572,6010
QN42,28097,13683,14414,1762,1609,1560,1255,1287,3697,3928,4470,2306,1775,2149,1457,13977,582,12198,2117
QN45,25619,12681,12938,1262,1105,1548,1568,1184,2861,3097,4552,1869,1827,2438,1481,14449,770,9427,2812
QN46,45522,21714,23808,2257,1993,2844,2603,2529,6258,6025,7765,3246,2855,3794,1997,24964,1262,15452,6086
QN48,20684,10047,10637,1445,741,1058,1173,1268,2801,2810,3214,1359,1496,1679,1165,10254,323,8669,2745
QN01,36864,16880,19984,2652,2451,2943,3211,2779,5205,5215,4857,1788,1556,2586,1029,1395,25838,2336,6240
QN02,26959,11295,15664,1465,1684,2010,1799,1665,3547,3930,3640,1445,1679,2086,1200,472,24626,454,1952
QN07,21520,9675,11845,1165,988,1228,1675,2034,3033,3046,3278,1294,1236,1484,691,1484,13879,2777,2627
QN08,51098,23386,27712,2914,3179,3431,3655,3749,6476,6926,8342,2889,2815,3176,2496,1444,45889,760,3181
QN61,50922,25103,25819,3799,3278,3167,3155,3412,8064,8291,7096,3323,1992,3328,1556,5723,10891,15459,18959
QN76,34293,16029,18264,2093,2232,2374,3211,2686,4493,5085,4760,1992,1704,2048,1064,993,27297,1531,3751
QN03,19901,9221,10680,1313,1394,1548,1175,1865,2960,2622,3167,993,1028,1124,570,966,17588,295,1590
QN05,28201,12209,15992,2087,2098,2056,2282,2123,3921,3425,4360,1877,1516,1504,621,2094,24162,1113,1678
QN33,20212,9274,10938,896,815,891,1599,1475,2122,2664,3418,1392,1345,2023,1221,686,18633,423,1026
QN34,57549,27844,29705,2974,3078,3458,4374,4665,7950,8477,8551,4216,3003,3988,2123,8320,30243,10692,10801
QN43,25964,12986,12978,1606,1450,1608,1819,1492,4047,3310,4331,1741,1416,1546,1083,11230,1859,10245,3880
QN44,22427,10254,12173,1004,940,1108,974,1025,3217,2390,3107,1703,1625,1861,1992,12787,716,7241,2024
QN66,25141,10978,14163,1124,1519,1724,1866,1514,2891,3220,3965,1713,1811,2182,1267,682,23593,97,937
